,Function,bp_start,contig,gene,plasmid
36,[ ' Q1MDZ0_RHIL3 Putative solute-binding component of ABC transporter OS=Rhizobium '],39718,3206-3_07175,group9257,unitig_5_pRL7a_nodD|quiver
37,[ ' Q1M4U7_RHIL3 Putative deoR family transcriptional regulator OS=Rhizobium '],40115,3206-3_07176,group9256,unitig_5_pRL7a_nodD|quiver
38,[' ****** No hits found ****** '],40830,3206-3_07177,group9255,unitig_5_pRL7a_nodD|quiver
39,[ ' Q1ME61_RHIL3 Putative transmemrbane protein OS=Rhizobium leguminosarum bv. '],172044,3206-3_05603,group9351,unitig_5_pRL7a_nodD|quiver
40,[],2202271,3206-3_02459,group233,unitig_0_chrom|quiver
41,[ ' Q1MMF9_RHIL3 Putative exported peptidase OS=Rhizobium leguminosarum bv. viciae '],3481621,3206-3_01825,group1367,unitig_0_chrom|quiver
42,[ ' Q1MAA1_RHIL3 Solute binding protein of inositol ABC transporter OS=Rhizobium '],3957028,3206-3_04617,group4070,unitig_0_chrom|quiver
43,[ ' Q1ME90_RHIL3 Putative GntR family transcriptional regulator OS=Rhizobium '],190685,3206-3_05587,group5276,unitig_5_pRL7a_nodD|quiver
44,[ ' Q1MIN6_RHIL3 Putative O-acetylhomoserine (Thiol)-lyase (Homocysteine synthase) '],190767,3206-3_05586,group5277,unitig_5_pRL7a_nodD|quiver
45,[ ' Q1M802_RHIL3 Putative transccriptional regulator OS=Rhizobium leguminosarum bv. '],193645,3206-3_05582,group5600,unitig_5_pRL7a_nodD|quiver
46,[ ' Q1M9L5_RHIL3 Putative integrase OS=Rhizobium leguminosarum bv. viciae (strain '],92835,3206-3_07572,group5294,unitig_5_pRL7a_nodD|quiver
47,[ ' Q1M7F1_RHIL3 Putative isochorismatase OS=Rhizobium leguminosarum bv. viciae '],209184,3206-3_05568,group5756,unitig_5_pRL7a_nodD|quiver
48,[' ****** No hits found ****** '],210573,3206-3_05567,group5757,unitig_5_pRL7a_nodD|quiver
49,[ ' Q1MCK9_RHIL3 Putative O-acetyl transferase OS=Rhizobium leguminosarum bv. viciae '],212157,3206-3_05566,group4144,unitig_5_pRL7a_nodD|quiver
50,[ ' Q1M7X5_RHIL3 Nodulation protein OS=Rhizobium leguminosarum bv. viciae (strain '],212935,3206-3_05565,group4143,unitig_5_pRL7a_nodD|quiver
51,[ ' Q1M7X4_RHIL3 Glutamine--fructose-6-phosphate aminotransferase [isomerizing] '],214841,3206-3_05564,group4142,unitig_5_pRL7a_nodD|quiver
52,[' Q1M7X3_RHIL3 Nodulation protein L (O-acetyl transferase) OS=Rhizobium '],215825,3206-3_05562,group4141,unitig_5_pRL7a_nodD|quiver
53,[ ' Q1M7X2_RHIL3 Nodulation proteinE (Condensing enzyme) OS=Rhizobium leguminosarum '],217512,3206-3_05561,group4140,unitig_5_pRL7a_nodD|quiver
54,[' Q1M7X1_RHIL3 Nodulation protein F (Acyl carrier protein) OS=Rhizobium '],217790,3206-3_05560,group4139,unitig_5_pRL7a_nodD|quiver
55,[ ' Q1M7W9_RHIL3 Nodulation protein A OS=Rhizobium leguminosarum bv. viciae (strain '],219505,3206-3_05558,group4137,unitig_5_pRL7a_nodD|quiver
56,[ ' Q1M7W7_RHIL3 N-acetylglucosaminyltransferase OS=Rhizobium leguminosarum bv. viciae '],220763,3206-3_05557,group4136,unitig_5_pRL7a_nodD|quiver
57,[ ' NODI_RHIL3 Nod factor export ATP-binding protein I OS=Rhizobium leguminosarum '],222082,3206-3_05556,group4135,unitig_5_pRL7a_nodD|quiver
58,[ ' Q1M7W5_RHIL3 Nodulation protein J OS=Rhizobium leguminosarum bv. viciae (strain '],223107,3206-3_05555,group4134,unitig_5_pRL7a_nodD|quiver
59,[ ' Q1M7V9_RHIL3 FeMo cofactor biosynthesis protein OS=Rhizobium leguminosarum bv. '],226236,3206-3_05552,group4129,unitig_5_pRL7a_nodD|quiver
60,[ ' Q1M7V8_RHIL3 NifA transcriptional regulator OS=Rhizobium leguminosarum bv. viciae '],227684,3206-3_05551,group4128,unitig_5_pRL7a_nodD|quiver
61,[ ' Q1M7V7_RHIL3 Ferredoxin-like protein OS=Rhizobium leguminosarum bv. viciae '],228180,3206-3_05550,group4127,unitig_5_pRL7a_nodD|quiver
62,[ ' Q1M7V6_RHIL3 Nitrogen fixation FixC protein OS=Rhizobium leguminosarum bv. viciae '],229500,3206-3_05549,group4126,unitig_5_pRL7a_nodD|quiver
63,[ ' Q1M7V5_RHIL3 FixB electron transfer protein OS=Rhizobium leguminosarum bv. viciae '],230623,3206-3_05548,group4125,unitig_5_pRL7a_nodD|quiver
64,[ ' Q1M7Z2_RHIL3 Nitrogenase iron protein OS=Rhizobium leguminosarum bv. viciae '],232054,3206-3_05546,group4123,unitig_5_pRL7a_nodD|quiver
65,[ ' Q1M7Z3_RHIL3 Nitrogenase protein alpha chain OS=Rhizobium leguminosarum bv. viciae '],233034,3206-3_05545,group4122,unitig_5_pRL7a_nodD|quiver
66,[ ' Q1M7Z4_RHIL3 Nitrogenase molybdenum-iron protein beta chain OS=Rhizobium '],234632,3206-3_05544,group4121,unitig_5_pRL7a_nodD|quiver
67,[ ' Q1M7Z5_RHIL3 Putative nitrogenase iron-molybdenum cofactor biosynthesis protein '],236217,3206-3_05543,group4120,unitig_5_pRL7a_nodD|quiver
68,[ ' Q1M7Z6_RHIL3 Putative nitrogenase iron-molybdenum cofactor biosynthesis protein '],237670,3206-3_05542,group4119,unitig_5_pRL7a_nodD|quiver
69,[],3849739,3206-3_04718,group884,unitig_0_chrom|quiver
70,[],3848018,3206-3_04719,group885,unitig_0_chrom|quiver
71,[ ' Q1M815_RHIL3 Putative succinate-semialdehyde dehydrogenase [NADP+] OS=Rhizobium '],260972,3206-3_05518,group5368,unitig_5_pRL7a_nodD|quiver
72,"[ ' Q1M814_RHIL3 Putative 1,3-propanediol dehydrogenase OS=Rhizobium leguminosarum bv. ']",262449,3206-3_05517,group5369,unitig_5_pRL7a_nodD|quiver
73,[ ' AHLLM_RHIL3 N-acyl homoserine lactonase AttM OS=Rhizobium leguminosarum bv. '],263660,3206-3_05516,group5370,unitig_5_pRL7a_nodD|quiver
74,[ ' Q1M812_RHIL3 Homoserine O-acetyltransferase OS=Rhizobium leguminosarum bv. viciae '],264620,3206-3_05515,group5371,unitig_5_pRL7a_nodD|quiver
75,[ ' Q1M7V4_RHIL3 FixA electron transfer protein OS=Rhizobium leguminosarum bv. '],271733,3206-3_05547,group4124,unitig_5_pRL7a_nodD|quiver
76,[ ' Q1M4I8_RHIL3 Putative acetolactate synthase OS=Rhizobium leguminosarum bv. viciae '],373985,3206-3_04056,group4035,unitig_1_pRL12|quiver
77,[ ' Q1MA30_RHIL3 Acetyl-coenzyme A synthetase OS=Rhizobium leguminosarum bv. viciae '],3888558,3206-3_04679,group7106,unitig_0_chrom|quiver
78,[ ' Q1MAP8_RHIL3 Inorganic pyrophosphatase OS=Rhizobium leguminosarum bv. viciae '],4131845,3206-3_05384,group3603,unitig_0_chrom|quiver
