,Function,bp_start,contig,gene,plasmid
70,[ ' Q1MGK6_RHIL3 Probable peptidase/protease OS=Rhizobium leguminosarum bv. viciae '],704135,3356-147A_01391,group5524,unitig_0|quiver
71,[ ' Q1MFG6_RHIL3 Putative FNR family transcriptional regulator OS=Rhizobium '],289729,3356-147A_04144,group2056,unitig_0|quiver
72,[ ' Q1MKR6_RHIL3 Putative peptidase OS=Rhizobium leguminosarum bv. viciae (strain '],2228204,3356-147A_07138,group5082,unitig_0|quiver
73,[' Q1M7X0_RHIL3 Nodulation protein D (LysR type regulator) OS=Rhizobium '],287144,3356-147A_07284,group4138,unitig_4|quiver
74,[ ' Q1MNC9_RHIL3 Putative nucleotidyltransferase protein OS=Rhizobium leguminosarum '],311511,3356-147A_07072,group9265,unitig_4|quiver
75,[' ****** No hits found ****** '],310640,3356-147A_07073,group9264,unitig_4|quiver
76,[ ' Q1MJ33_RHIL3 Putative phosphatidylserine synthase OS=Rhizobium leguminosarum bv. '],309571,3356-147A_07074,group9263,unitig_4|quiver
77,[' ****** No hits found ****** '],308720,3356-147A_07075,group9262,unitig_4|quiver
78,[ ' Q1MDY8_RHIL3 Putative transmembrane component of ABC transporter OS=Rhizobium '],304057,3356-147A_07080,group9259,unitig_4|quiver
79,[ ' Q1MDY9_RHIL3 Putative transmembrane component of ABC transporter OS=Rhizobium '],303128,3356-147A_07081,group9258,unitig_4|quiver
80,[ ' Q1MDZ0_RHIL3 Putative solute-binding component of ABC transporter OS=Rhizobium '],302044,3356-147A_07082,group9257,unitig_4|quiver
81,[ ' Q1M4U7_RHIL3 Putative deoR family transcriptional regulator OS=Rhizobium '],301648,3356-147A_07083,group9256,unitig_4|quiver
82,[' ****** No hits found ****** '],300933,3356-147A_07084,group9255,unitig_4|quiver
83,[ ' Q1ME61_RHIL3 Putative transmemrbane protein OS=Rhizobium leguminosarum bv. '],59799,3356-147A_07327,group9351,unitig_4|quiver
84,[ ' Q1MMF9_RHIL3 Putative exported peptidase OS=Rhizobium leguminosarum bv. viciae '],2910714,3356-147A_03577,group1367,unitig_0|quiver
85,[ ' Q1MAA1_RHIL3 Solute binding protein of inositol ABC transporter OS=Rhizobium '],3429816,3356-147A_02488,group4070,unitig_0|quiver
86,[ ' Q1ME90_RHIL3 Putative GntR family transcriptional regulator OS=Rhizobium '],254472,3356-147A_06872,group5276,unitig_4|quiver
87,[ ' Q1MIN6_RHIL3 Putative O-acetylhomoserine (Thiol)-lyase (Homocysteine synthase) '],254554,3356-147A_06873,group5277,unitig_4|quiver
88,[ ' Q1M802_RHIL3 Putative transccriptional regulator OS=Rhizobium leguminosarum bv. '],257490,3356-147A_06876,group5600,unitig_4|quiver
89,[ ' Q1M9L5_RHIL3 Putative integrase OS=Rhizobium leguminosarum bv. viciae (strain '],397028,3356-147A_07333,group5294,unitig_4|quiver
90,[ ' Q1M7F1_RHIL3 Putative isochorismatase OS=Rhizobium leguminosarum bv. viciae '],268900,3356-147A_07294,group5756,unitig_4|quiver
91,[' ****** No hits found ****** '],269611,3356-147A_07293,group5757,unitig_4|quiver
92,[ ' Q1MCK9_RHIL3 Putative O-acetyl transferase OS=Rhizobium leguminosarum bv. viciae '],272375,3356-147A_07290,group4144,unitig_4|quiver
93,[ ' Q1M7X5_RHIL3 Nodulation protein OS=Rhizobium leguminosarum bv. viciae (strain '],273153,3356-147A_07289,group4143,unitig_4|quiver
94,[ ' Q1M7X4_RHIL3 Glutamine--fructose-6-phosphate aminotransferase [isomerizing] '],275059,3356-147A_07288,group4142,unitig_4|quiver
95,[' Q1M7X3_RHIL3 Nodulation protein L (O-acetyl transferase) OS=Rhizobium '],276046,3356-147A_07287,group4141,unitig_4|quiver
96,[ ' Q1M7X2_RHIL3 Nodulation proteinE (Condensing enzyme) OS=Rhizobium leguminosarum '],277746,3356-147A_07286,group4140,unitig_4|quiver
97,[' Q1M7X1_RHIL3 Nodulation protein F (Acyl carrier protein) OS=Rhizobium '],278042,3356-147A_07285,group4139,unitig_4|quiver
98,[ ' Q1M7W9_RHIL3 Nodulation protein A OS=Rhizobium leguminosarum bv. viciae (strain '],279742,3356-147A_07283,group4137,unitig_4|quiver
99,[ ' Q1M7W7_RHIL3 N-acetylglucosaminyltransferase OS=Rhizobium leguminosarum bv. viciae '],281252,3356-147A_07387,group4136,unitig_4|quiver
100,[ ' Q1M7W5_RHIL3 Nodulation protein J OS=Rhizobium leguminosarum bv. viciae (strain '],283343,3356-147A_07395,group4134,unitig_4|quiver
101,[ ' Q1M7V9_RHIL3 FeMo cofactor biosynthesis protein OS=Rhizobium leguminosarum bv. '],37847,3356-147A_07248,group4129,unitig_4|quiver
102,[ ' Q1M7V8_RHIL3 NifA transcriptional regulator OS=Rhizobium leguminosarum bv. viciae '],39174,3356-147A_07247,group4128,unitig_4|quiver
103,[ ' Q1M7V7_RHIL3 Ferredoxin-like protein OS=Rhizobium leguminosarum bv. viciae '],39669,3356-147A_07246,group4127,unitig_4|quiver
104,[ ' Q1M7V6_RHIL3 Nitrogen fixation FixC protein OS=Rhizobium leguminosarum bv. viciae '],40989,3356-147A_07245,group4126,unitig_4|quiver
105,[ ' Q1M7V5_RHIL3 FixB electron transfer protein OS=Rhizobium leguminosarum bv. viciae '],42112,3356-147A_07244,group4125,unitig_4|quiver
106,[ ' Q1M7Z2_RHIL3 Nitrogenase iron protein OS=Rhizobium leguminosarum bv. viciae '],365214,3356-147A_07242,group4123,unitig_4|quiver
107,[ ' Q1M7Z3_RHIL3 Nitrogenase protein alpha chain OS=Rhizobium leguminosarum bv. viciae '],44506,3356-147A_07241,group4122,unitig_4|quiver
108,[ ' Q1M7Z4_RHIL3 Nitrogenase molybdenum-iron protein beta chain OS=Rhizobium '],46104,3356-147A_07240,group4121,unitig_4|quiver
109,[ ' Q1M7Z5_RHIL3 Putative nitrogenase iron-molybdenum cofactor biosynthesis protein '],47689,3356-147A_07239,group4120,unitig_4|quiver
110,[ ' Q1M7Z6_RHIL3 Putative nitrogenase iron-molybdenum cofactor biosynthesis protein '],49139,3356-147A_07238,group4119,unitig_4|quiver
111,[],3324287,3356-147A_06257,group884,unitig_0|quiver
112,[],3322565,3356-147A_06256,group885,unitig_0|quiver
113,[ ' Q1M815_RHIL3 Putative succinate-semialdehyde dehydrogenase [NADP+] OS=Rhizobium '],381200,3356-147A_06936,group5368,unitig_4|quiver
114,"[ ' Q1M814_RHIL3 Putative 1,3-propanediol dehydrogenase OS=Rhizobium leguminosarum bv. ']",379723,3356-147A_06937,group5369,unitig_4|quiver
115,[ ' AHLLM_RHIL3 N-acyl homoserine lactonase AttM OS=Rhizobium leguminosarum bv. '],378512,3356-147A_06938,group5370,unitig_4|quiver
116,[ ' Q1M812_RHIL3 Homoserine O-acetyltransferase OS=Rhizobium leguminosarum bv. viciae '],377552,3356-147A_06939,group5371,unitig_4|quiver
117,[ ' Q1M7V4_RHIL3 FixA electron transfer protein OS=Rhizobium leguminosarum bv. '],42977,3356-147A_07243,group4124,unitig_4|quiver
118,[ ' Q1M4I8_RHIL3 Putative acetolactate synthase OS=Rhizobium leguminosarum bv. viciae '],481515,3356-147A_00095,group4035,unitig_1|quiver
119,[ ' Q1MAP8_RHIL3 Inorganic pyrophosphatase OS=Rhizobium leguminosarum bv. viciae '],3609063,3356-147A_02649,group3603,unitig_0|quiver
