Gene_Group;Annotation;Members
1137; Q1MHM0_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1138; SURE_RHIL3 ;199
1139; SYS_RHIL3 Serine--tRNA ligase OS=Rhizobium leguminosarum bv. viciae (strain ;199
1140; Q1MHM3_RHIL3 Sec-independent protein translocase protein TatC OS=Rhizobium ;199
1141; TATB_RHIL3 Sec-independent protein translocase protein TatB OS=Rhizobium ;199
1143; Q1MHM6_RHIL3 Segregation and condensation protein B OS=Rhizobium leguminosarum ;199
1147; Q1MHN0_RHIL3 Arginine--tRNA ligase OS=Rhizobium leguminosarum bv. viciae (strain ;199
1148; DGTL1_RHIL3 Deoxyguanosinetriphosphate triphosphohydrolase-like protein ;199
1150; Q1MHN3_RHIL3 Putative exodeoxyribonuclease III OS=Rhizobium leguminosarum bv. ;199
1151; Q1MHN4_RHIL3 Exopolysaccharide production negative regulator OS=Rhizobium ;199
1156; ****** No hits found ****** ;199
1157; Q1MHN9_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1159; Q1MHP1_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1160; Q1MHP2_RHIL3 Hypothetical exported protein OS=Rhizobium leguminosarum bv. viciae ;199
1161; Q1MHP2_RHIL3 Hypothetical exported protein OS=Rhizobium leguminosarum bv. viciae ;199
1162; Q1MHP3_RHIL3 Putative transmembrane protein OS=Rhizobium leguminosarum bv. ;199
1163; Q1M9X6_RHIL3 Putative insertion sequence protein OS=Rhizobium leguminosarum bv. ;199
1164; Q1MHD5_RHIL3 Putative transposase-related protein OS=Rhizobium leguminosarum bv. ;199
1170; Q1M5M7_RHIL3 Putative oxidoreductase OS=Rhizobium leguminosarum bv. viciae ;199
1172; Q1M5M9_RHIL3 Putative AraC family transcriptional regulator OS=Rhizobium ;199
1173; Q1M5N0_RHIL3 Putative transmembrane protein OS=Rhizobium leguminosarum bv. ;199
1174; Q1M5N1_RHIL3 Putative transcriptional regulator OS=Rhizobium leguminosarum bv. ;199
1177; Q1M5N4_RHIL3 Putative HTH-type transcriptional regulator OS=Rhizobium ;199
1178; Q1M5N5_RHIL3 Putative ribonuclease OS=Rhizobium leguminosarum bv. viciae (strain ;199
1179; Q1M5N6_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1180; Q1M5N7_RHIL3 Microcystinase C OS=Rhizobium leguminosarum bv. viciae (strain 3841) ;199
1182; Q1M5P7_RHIL3 Putative ATP-binding component of ABC transporter OS=Rhizobium ;199
1184; Q1M5P9_RHIL3 Putative permease component of ABC transporter OS=Rhizobium ;199
1187; Q1M5Q2_RHIL3 Putative dienelactone hydrolase family protein OS=Rhizobium ;199
1188; Q1M5Q3_RHIL3 Putative MmgE/PrpD family protein OS=Rhizobium leguminosarum bv. ;199
1189; Q1M5Q4_RHIL3 Putative transcriptional activator protein OS=Rhizobium ;199
1191; Q1M5Q6_RHIL3 Putative permease component of ABC transporter OS=Rhizobium ;199
1193; Q1M5Q8_RHIL3 Putative ABC transporter component OS=Rhizobium leguminosarum bv. ;199
1194; Q1M5Q9_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1195; Q1M5R0_RHIL3 Putative substrate-binding component of ABC transporter OS=Rhizobium ;199
1197; Q1M5R2_RHIL3 Putative transmembrane protein OS=Rhizobium leguminosarum bv. ;199
1198; Q1M5R3_RHIL3 Putative transmembrane protein OS=Rhizobium leguminosarum bv. ;199
1200; Q1M5R5_RHIL3 Putative flavoprotein/ferredoxin OS=Rhizobium leguminosarum bv. ;199
1201; Q1M5R6_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1202; Q1M5R7_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1203; Q1M5S0_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1206; Q1M5S5_RHIL3 Putative glutathione-S-transferase protein OS=Rhizobium ;199
1207; Q1M5S6_RHIL3 Putative intracellular PHB depolymerase OS=Rhizobium leguminosarum ;199
1208; Q1M5S7_RHIL3 Putative ATP-binding component of ABC transporter OS=Rhizobium ;199
1212; Q1M5T1_RHIL3 Putative substrate-binding component of ABC transporter ;199
1216; Q1M5T5_RHIL3 Putative transcriptional regulator OS=Rhizobium leguminosarum bv. ;199
1218; Q1M5T7_RHIL3 Putative permease component of ABC transporter OS=Rhizobium ;199
1219; Q1M5T8_RHIL3 Puative substrate-binding ABC transporter protein OS=Rhizobium ;199
1220; Q1M5T9_RHIL3 Putative formamidase OS=Rhizobium leguminosarum bv. viciae (strain ;199
1221; Q1M5U0_RHIL3 Putative ATP-binding component of ABC transporter OS=Rhizobium ;199
1222; THIM_RHIL3 Hydroxyethylthiazole kinase OS=Rhizobium leguminosarum bv. viciae ;199
1223; Q1M5U4_RHIL3 Thiamine-phosphate synthase OS=Rhizobium leguminosarum bv. viciae ;199
1224; Q1M5U5_RHIL3 Putative phosphomethylpyrimidine kinase OS=Rhizobium leguminosarum ;199
1225; Q1M5U6_RHIL3 Putative acetyltransferase OS=Rhizobium leguminosarum bv. viciae ;199
1226; Q1M5U7_RHIL3 Putative glycosyl transferase OS=Rhizobium leguminosarum bv. viciae ;199
1228; Q1M5U9_RHIL3 Putative permease component of ABC transporter OS=Rhizobium ;199
1229; Q1M5V0_RHIL3 Putative permease component of ABC transporter OS=Rhizobium ;199
1234; Q1M5V5_RHIL3 Putative transmembrane protein OS=Rhizobium leguminosarum bv. ;199
1235; Q1M5V6_RHIL3 Putative LysR family transcriptional regulator OS=Rhizobium ;199
1236; Q1M5V7_RHIL3 Putative choline-sulfatase OS=Rhizobium leguminosarum bv. viciae ;199
1237; Q1M5V8_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1238; Q1M5V9_RHIL3 Half-amidase OS=Rhizobium leguminosarum bv. viciae (strain 3841) ;199
1239; Q1M5W0_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1242; Q1M5W3_RHIL3 Putative TetR family transcriptional regulator OS=Rhizobium ;199
1244; Q1M5W5_RHIL3 Putative oxidoreductase/stress-related protein OS=Rhizobium ;199
1246; Q1M5W7_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae (strain ;199
1248; Q1M5W9_RHIL3 Alkyl hydroperoxide reductase AhpD OS=Rhizobium leguminosarum bv. ;199
1249; Q1M5X0_RHIL3 Putative rhamnose isomerase with a role in competition for nodulation ;199
1251; Q1M5X1_RHIL3 Propbable rhamnose phosphate dehydrogenase OS=Rhizobium leguminosarum ;199
1253; Q1M5X3_RHIL3 Rhamnose periplasmic binding protein OS=Rhizobium leguminosarum bv. ;199
1255; Q1M5X5_RHIL3 Rhamnose permease protein of ABC transporter complex OS=Rhizobium ;199
1257; RHAM_RHIL3 L-rhamnose mutarotase OS=Rhizobium leguminosarum bv. viciae (strain ;199
1258; Q1M5X8_RHIL3 Rhamnose kinase protein OS=Rhizobium leguminosarum bv. viciae (strain ;199
1259; Q1M9R8_RHIL3 Putative transposase related protein OS=Rhizobium leguminosarum bv. ;199
1260; Q1ML89_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1261; Q1ML90_RHIL3 Putative two-component regulator sensor histidine kinase protein ;199
1263; Q1ML92_RHIL3 Conserved hypothetical exported protein OS=Rhizobium leguminosarum ;199
1264; Q1ML93_RHIL3 Probable putrescine transport system permease protein OS=Rhizobium ;199
1266; Q1ML95_RHIL3 Polyamine-transporting ATPase OS=Rhizobium leguminosarum bv. viciae ;199
1267; Q1ML96_RHIL3 Putrescine-binding periplasmic protein OS=Rhizobium leguminosarum bv. ;199
1268; Q1ML97_RHIL3 Putative HTH transcriptional regulator OS=Rhizobium leguminosarum bv. ;199
1270; Q1ML99_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1271; Q1MLA0_RHIL3 Putative HTH transcription regulator protein OS=Rhizobium ;199
1273; Q1MLA1_RHIL3 Probable MCP type chemoreceptor OS=Rhizobium leguminosarum bv. viciae ;199
1274; Q1MLA2_RHIL3 Probable MCP type chemoreceptor, Ortholog of S. meliloti McpZ ;199
1275; Q1MLA3_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae (strain ;199
1276; Q1MLA4_RHIL3 Putative glutamine synthetase OS=Rhizobium leguminosarum bv. viciae ;199
1277; Q1MLA5_RHIL3 Putative oxidoreductase OS=Rhizobium leguminosarum bv. viciae (strain ;199
1278; Q1MLA6_RHIL3 Glucose-6-phosphate 1-dehydrogenase OS=Rhizobium leguminosarum bv. ;199
1280; Q1MLA8_RHIL3 Putative phosphogluconate dehydratase OS=Rhizobium leguminosarum bv. ;199
1281; Q1MLA9_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1282; Q1MLB0_RHIL3 Putative alpha-glucoside transport ATP-binding protein OS=Rhizobium ;199
1283; Q1MLB1_RHIL3 Putative alpha-glucosidase OS=Rhizobium leguminosarum bv. viciae ;199
1284; Q1MLB2_RHIL3 Putative alpha-glucoside transport system transmembrane component of ;199
1285; Q1MLB3_RHIL3 Putative alpha-glucoside transport system transmembrane component of ;199
1286; Q1MLB4_RHIL3 Abc transporter, substrate binding protein (Agr_c_1045p) OS=Rhizobium ;199
1287; Q1MLB5_RHIL3 Putative HTH LacI family transcriptional regulator OS=Rhizobium ;199
1288; FOLD_RHIL3 Bifunctional protein FolD OS=Rhizobium leguminosarum bv. viciae ;199
1289; Q1MLB7_RHIL3 Putative transmembrane succinoglycan biosynthesis transport protein ;199
1290; Q1MLB8_RHIL3 Putative WecB family glycosyltransferase OS=Rhizobium leguminosarum ;199
1291; Q1MLB9_RHIL3 Putative transmembrane protein OS=Rhizobium leguminosarum bv. ;199
1292; Q1MLC0_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1293; Q1MLC1_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1294; Q1MLC2_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1295; Q1MLC3_RHIL3 Putative flagellar biosynthetic protein FliR OS=Rhizobium ;199
1297; Q1MLC5_RHIL3 Flagellar biosynthetic protein FliQ OS=Rhizobium leguminosarum bv. ;199
1298; Q1MLC6_RHIL3 Putative hook formation protein OS=Rhizobium leguminosarum bv. ;199
1299; FLBT_RHIL3 Probable flagellum biosynthesis repressor protein FlbT OS=Rhizobium ;199
1300; Q1MLC8_RHIL3 Putative flagellar synthesis related protein OS=Rhizobium ;199
1301; Q1MLC9_RHIL3 Flagellin OS=Rhizobium leguminosarum bv. viciae (strain 3841) ;199
1302; Q1MLD0_RHIL3 Hook associated protein i homolog (Agr_c_1014p) OS=Rhizobium ;199
1303; Q1MLD1_RHIL3 Flagellar hook protein FlgE OS=Rhizobium leguminosarum bv. viciae ;199
1304; Q1MLD2_RHIL3 Regulator of flagellar and motility genes OS=Rhizobium ;199
1305; Q1MLD3_RHIL3 Conserved hypothetical exported protein OS=Rhizobium leguminosarum ;199
1306; Q1MLD4_RHIL3 Putative chemotaxis MotD protein (Motility protein D) OS=Rhizobium ;199
1307; Q1MLD5_RHIL3 Putative chemotaxis MotC protein (Motility protein c) OS=Rhizobium ;199
1308; Q1MLD6_RHIL3 Putative motility protein OS=Rhizobium leguminosarum bv. viciae ;199
1309; Q1MLD7_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1310; Q1MLD8_RHIL3 Flagellin OS=Rhizobium leguminosarum bv. viciae (strain 3841) ;199
1311; Q1MLD9_RHIL3 Flagellin OS=Rhizobium leguminosarum bv. viciae (strain 3841) ;199
1312; Q1MLE0_RHIL3 Flagellin OS=Rhizobium leguminosarum bv. viciae (strain 3841) ;199
1313; Q1MLE1_RHIL3 Flagellin OS=Rhizobium leguminosarum bv. viciae (strain 3841) ;199
1314; Q1MLE2_RHIL3 Putative conserved hypothetical TPR repeat protein OS=Rhizobium ;199
1315; Q1MLE3_RHIL3 Flagellar biosynthetic protein FliP OS=Rhizobium leguminosarum bv. ;199
1316; Q1MLE4_RHIL3 Orfc OS=Rhizobium leguminosarum bv. viciae (strain 3841) GN=fliL ;199
1317; Q1MLE5_RHIL3 Flagellar L-ring protein OS=Rhizobium leguminosarum bv. viciae ;199
1318; Q1MLE6_RHIL3 Putative exported flagella related protein OS=Rhizobium ;199
1319; FLGI_RHIL3 Flagellar P-ring protein OS=Rhizobium leguminosarum bv. viciae ;199
1320; Q1MLE8_RHIL3 Flagella basal body P-ring formation protein FlgA OS=Rhizobium ;199
1321; Q1MLE9_RHIL3 Flagellar basal-body rod protein FlgG OS=Rhizobium leguminosarum ;199
1322; Q1MLF0_RHIL3 Flagellar hook-basal body complex protein FliE OS=Rhizobium ;199
1323; Q1MLF1_RHIL3 Flagellar basal-body rod protein FlgC OS=Rhizobium leguminosarum ;199
1324; Q1MLF2_RHIL3 Putative flagellar basal-body rod protein OS=Rhizobium ;199
1325; Q1MLF3_RHIL3 Putative flagella related protein OS=Rhizobium leguminosarum bv. ;199
1326; Q1MLF4_RHIL3 Putative flagellum-specific ATP synthase OS=Rhizobium leguminosarum ;199
1327; Q1MLF5_RHIL3 Flagellar basal-body rod protein FlgF OS=Rhizobium leguminosarum ;199
1328; Q1MLF6_RHIL3 Putative chemotaxis motility protein OS=Rhizobium leguminosarum bv. ;199
1329; Q1MLF7_RHIL3 Putative flagella motor switch protein OS=Rhizobium leguminosarum ;199
1330; Q1MLF8_RHIL3 Flagellar motor switch protein FliN OS=Rhizobium leguminosarum bv. ;199
1331; Q1MLF9_RHIL3 Putative flagellar motor switch protein OS=Rhizobium leguminosarum ;199
1332; Q1MLG0_RHIL3 Putative flagellar biosynthetic protein OS=Rhizobium leguminosarum ;199
1333; Q1MLG1_RHIL3 Putative flagellin related protein OS=Rhizobium leguminosarum bv. ;199
1334; Q1MLG2_RHIL3 Regulator of flagellar and motility genes, also regulates rem ;199
1335; Q1MLG3_RHIL3 Regulator of flagellar and motility genes, also regulates rem ;199
1336; Q1MLG4_RHIL3 Flagellar M-ring protein OS=Rhizobium leguminosarum bv. viciae ;199
1337; Q1MLG5_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1338; CHED_RHIL3 Probable chemoreceptor glutamine deamidase CheD OS=Rhizobium ;199
1339; Q1MLG7_RHIL3 CheY2-probable major role in interaction with flagellar motor ;199
1340; CHEB1_RHIL3 Chemotaxis response regulator protein-glutamate methylesterase 1 ;199
1341; Q1MLG9_RHIL3 Chemotaxis protein methyltransferase OS=Rhizobium leguminosarum bv. ;199
1342; Q1MLH0_RHIL3 CheW OS=Rhizobium leguminosarum bv. viciae (strain 3841) GN=cheW1 ;199
1343; Q1MLH1_RHIL3 CheA sensor kinase. Major chemotaxis regulator OS=Rhizobium ;199
1345; Q1MLH3_RHIL3 Putative chemotaxis related CheX protein OS=Rhizobium leguminosarum ;199
1346; Q1MLH4_RHIL3 Chemoreceptor, MCP family. No methylation domains, homolog of HemAT ;199
1347; ****** No hits found ****** ;199
1348; RGTD_RHIL3 Lipid A galacturonosyltransferase RgtD OS=Rhizobium leguminosarum bv. ;199
1349; Q1MLH6_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1350; Q1MLH7_RHIL3 Putative transmembrane ion efflux system protein OS=Rhizobium ;199
1351; Q1MLH8_RHIL3 Putative transmembrane protein OS=Rhizobium leguminosarum bv. ;199
1352; Q1MLH9_RHIL3 Putative transmembrane export SecD/F family protein OS=Rhizobium ;199
1353; Q1MLI0_RHIL3 Putative two component regulator histidine kinase/response ;199
1355; Q1MMH2_RHIL3 Putative cysteine synthase OS=Rhizobium leguminosarum bv. viciae ;199
1356; Q1MMH1_RHIL3 Putative LysE family transport protein OS=Rhizobium leguminosarum ;199
1357; Q1MMH0_RHIL3 Putative ferritin-family protein OS=Rhizobium leguminosarum bv. ;199
1358; Q1MMG9_RHIL3 Putative transmembrane protein OS=Rhizobium leguminosarum bv. ;199
1359; Q1MMG8_RHIL3 Putative AsnC family transcriptional regulatory protein ;199
1360; DUT_RHIL3 Deoxyuridine ;199
1361; Q1MMG5_RHIL3 Peptide chain release factor 3 OS=Rhizobium leguminosarum bv. viciae ;199
1362; Q1MMG4_RHIL3 Putative LysR family transcriptional regulator OS=Rhizobium ;199
1363; Q1MMG3_RHIL3 Putative glutathione-S-transferase OS=Rhizobium leguminosarum bv. ;199
1364; Q1MMG2_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1365; Q1MMG1_RHIL3 Putative AsnC family transcriptional regulator OS=Rhizobium ;199
1366; Q1MMG0_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1367; Q1MMF9_RHIL3 Putative exported peptidase OS=Rhizobium leguminosarum bv. viciae ;199
1368; Q1MMF8_RHIL3 Putative transmembrane transport protein OS=Rhizobium leguminosarum ;199
1369; Q1MMF7_RHIL3 Putative GntR family transcriptional regulator OS=Rhizobium ;199
1370; Q1MMF6_RHIL3 Putative pirin-like protein OS=Rhizobium leguminosarum bv. viciae ;199
1371; Q1MMF5_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1372; Q1MMF4_RHIL3 Putative coenyzme A biosynthesis bifunctional protein OS=Rhizobium ;199
1373; Q1MMF3_RHIL3 Putative 3-oxoacyl-[acyl-carrier-protein] reductase OS=Rhizobium ;199
1374; Q1MMF2_RHIL3 Putative short-chain dehydrogenase/reductase OS=Rhizobium ;199
1375; Q1MMF1_RHIL3 Putative LysR family transcriptional regulator OS=Rhizobium ;199
1376; Q1MMF0_RHIL3 Putative LysR family transcriptional regulator OS=Rhizobium ;199
1377; Q1MME9_RHIL3 Putative MFS family transmembrane transport protein OS=Rhizobium ;199
1378; Q1MME8_RHIL3 Putative glyoxalase OS=Rhizobium leguminosarum bv. viciae (strain ;199
1379; Q1MME7_RHIL3 Urocanate hydratase OS=Rhizobium leguminosarum bv. viciae (strain ;199
1380; Q1MME6_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1381; Q1MME5_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae (strain ;199
1382; Q1MME4_RHIL3 Putative N-carbamoyl-L-amino acid hydrolase OS=Rhizobium ;199
1383; Q1MME3_RHIL3 Putative allantoinase OS=Rhizobium leguminosarum bv. viciae (strain ;199
1384; Q1MME2_RHIL3 Putative histidine ammonia-lyase OS=Rhizobium leguminosarum bv. ;199
1385; Q1MME1_RHIL3 Probable protein kinase UbiB OS=Rhizobium leguminosarum bv. viciae ;199
1386; UBIE_RHIL3 Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE ;199
1387; FPG_RHIL3 Formamidopyrimidine-DNA glycosylase OS=Rhizobium leguminosarum bv. ;199
1388; Q1MMD8_RHIL3 Putative enoyl-CoA hydratase OS=Rhizobium leguminosarum bv. viciae ;199
1389; RS20_RHIL3 30S ribosomal protein S20 OS=Rhizobium leguminosarum bv. viciae ;199
1390; DNAA_RHIL3 Chromosomal replication initiator protein DnaA OS=Rhizobium ;199
1391; Q1MMD5_RHIL3 Putative L-lysine dehydrogenase OS=Rhizobium leguminosarum bv. viciae ;199
1392; Q1MMD4_RHIL3 Putative oxygen-independent coprophorphyrinogen III oxidase ;199
1393; Q1MMD3_RHIL3 Non-canonical purine NTP pyrophosphatase OS=Rhizobium leguminosarum ;199
1394; Q1MMD2_RHIL3 Putative glyoxalase family protein OS=Rhizobium leguminosarum bv. ;199
1395; RNPH_RHIL3 Ribonuclease PH OS=Rhizobium leguminosarum bv. viciae (strain 3841) ;199
1396; HRCA_RHIL3 Heat-inducible transcription repressor HrcA OS=Rhizobium ;199
1397; GRPE_RHIL3 Protein GrpE OS=Rhizobium leguminosarum bv. viciae (strain 3841) ;199
1398; Q1MMC8_RHIL3 Putative inosine-uridine preferring nucleoside hydrolase ;199
1399; Q1MMC7_RHIL3 Putative small heat shock protein OS=Rhizobium leguminosarum bv. ;199
1400; Q1MMC6_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1401; Q1MMC5_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1402; Q1MMC4_RHIL3 Uncharacterized protein OS=Rhizobium leguminosarum bv. viciae ;199
1403; TRMB_RHIL3 tRNA (guanine-N(7)-)-methyltransferase OS=Rhizobium leguminosarum ;199
1404; Q1MMC2_RHIL3 Putative S-adenosylmethionine synthetase OS=Rhizobium leguminosarum ;199
1405; Q1MMC1_RHIL3 Putative HTH-type transcriptional regulator OS=Rhizobium ;199
1406; Q1MMC0_RHIL3 Apolipoprotein N-acyltransferase OS=Rhizobium leguminosarum bv. ;199
1407; Q1MMB9_RHIL3 Putative hemolysin-like protein OS=Rhizobium leguminosarum bv. viciae ;199
